names,links,category
Mark Anthony,https://en.wikipedia.org/wiki/Mark_Antony,Unkown
George Meredith,https://en.wikipedia.org/wiki/George_Meredith,Unkown
Brigham Young,https://en.wikipedia.org/wiki/Brigham_Young,Unkown
Aparajita Gogoi,https://en.wikipedia.org/wiki/Aparajita,Unkown
T D Jakes,https://en.wikipedia.org/wiki/T._D._Jakes,Unkown
Bell Hooks,https://en.wikipedia.org/wiki/Bell_hooks,Unkown
Judi Dench,https://en.wikipedia.org/wiki/Judi_Dench,Unkown
Mae Jemison,https://en.wikipedia.org/wiki/Mae_Jemison,Unkown
Wangari Maathai,https://en.wikipedia.org/wiki/Wangari_Maathai,Unkown
Estée Lauder,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_(businesswoman),Unkown
Gail Laughlin,https://en.wikipedia.org/wiki/Gail_Laughlin,Unkown
Somaly Mam,https://en.wikipedia.org/wiki/Somaly_Mam,Unkown
Bessie Coleman,https://en.wikipedia.org/wiki/Bessie_Coleman,Unkown
Shirley Chisolm,https://en.wikipedia.org/wiki/Shirley_Chisholm,Unkown
Dian Fossey,https://en.wikipedia.org/wiki/Dian_Fossey,Unkown
Emily Murphy,https://en.wikipedia.org/wiki/Emily_Murphy,Unkown
Madonna,https://en.wikipedia.org/wiki/Madonna_%28entertainer%29,Unkown
Simone de Beauvoir,https://en.wikipedia.org/wiki/Simone_de_Beauvoir,Unkown
Ella Fitzgerald,https://en.wikipedia.org/wiki/Ella_Fitzgerald,Unkown
Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc,Unkown
Aung San Suu Kyi,https://en.wikipedia.org/wiki/Aung_San_Suu_Kyi,Unkown
Sandi Toksvig,https://en.wikipedia.org/wiki/Sandi_Toksvig,Unkown
Dorothy Hodgkin,https://en.wikipedia.org/wiki/Dorothy_Hodgkin,Unkown
Raymonde de Laroche,https://en.wikipedia.org/wiki/Raymonde_de_Laroche,Unkown
Harriet Chalmers Adams,https://en.wikipedia.org/wiki/Harriet_Chalmers_Adams,Unkown
Irena Sendler,https://en.wikipedia.org/wiki/Irena_Sendler,Unkown
Katie Couric,https://en.wikipedia.org/wiki/Katie_Couric,Unkown
Mary Kay Ash,https://en.wikipedia.org/wiki/Mary_Kay_Ash,Unkown
Cherri M. Pancake,https://en.wikipedia.org/wiki/Cherri_M._Pancake,Unkown
Cher Lloyd,https://en.wikipedia.org/wiki/Cher_Lloyd,Unkown
Cheryl Campbell,https://en.wikipedia.org/wiki/Cheryl_Campbell,Unkown
Cherry Bullet,https://en.wikipedia.org/wiki/Cherry_Bullet,Unkown
Billie Holiday,https://en.wikipedia.org/wiki/Billie_Holiday,Unkown
Dolly Parton,https://en.wikipedia.org/wiki/Dolly_Parton,Unkown
Grandma Moses,https://en.wikipedia.org/wiki/Grandma_Moses,Unkown
Emily Dickinson,https://en.wikipedia.org/wiki/Emily_Dickinson,Unkown
Sandra Day O'Connor,https://en.wikipedia.org/wiki/Sandra_Day_O%27Connor,Unkown
Edna Gardner Whyte,https://en.wikipedia.org/wiki/Edna_Gardner_Whyte,Unkown
Helen Thayer,https://en.wikipedia.org/wiki/Helen_Thayer,Unkown
Sally Ride,https://en.wikipedia.org/wiki/Sally_Ride,Unkown
Rosa Parks,https://en.wikipedia.org/wiki/Rosa_Parks,Unkown
Tokyo Rose,https://en.wikipedia.org/wiki/Tokyo_Rose,Unkown
Joanne Ciulla,https://en.wikipedia.org/wiki/Joanne_%28album%29,Unkown
Cherri Bomb,https://en.wikipedia.org/wiki/Cherri_Bomb,Unkown
Pink Lipstick,https://en.wikipedia.org/wiki/Pink_Lipstick,Unkown
Kat Cole,https://en.wikipedia.org/wiki/Kat_Cole,Unkown
Liz Lange,https://en.wikipedia.org/wiki/Liz_Lange,Unkown
Alicia Vikander,https://en.wikipedia.org/wiki/Alicia_Vikander,Unkown
Kate Moss,https://en.wikipedia.org/wiki/Kate_Moss,Unkown
B. Smith,https://en.wikipedia.org/wiki/B._Smith,Unkown
Carly Fiorina,https://en.wikipedia.org/wiki/Carly_Fiorina,Unkown
Susan Wicklund,https://en.wikipedia.org/wiki/Susan_Wicklund,Unkown
Hawa Abdi,https://en.wikipedia.org/wiki/Hawa_Abdi,Unkown
Rose Heilbron QC,https://en.wikipedia.org/wiki/Rose_Heilbron,Unkown
Yoko Ono,https://en.wikipedia.org/wiki/Yoko_Ono,Unkown
Lisa Ling,https://en.wikipedia.org/wiki/Lisa_Ling,Unkown
Tyra Banks,https://en.wikipedia.org/wiki/Tyra_Banks,Unkown
Sallie Krawcheck,https://en.wikipedia.org/wiki/Sallie_Krawcheck,Unkown
Pink,https://en.wikipedia.org/wiki/Pink_%28singer%29,Unkown
Edith Summerskill,https://en.wikipedia.org/wiki/Edith_Summerskill,Unkown
Bethenny Frankel,https://en.wikipedia.org/wiki/Bethenny_Frankel,Unkown
Camila Batmanghelidjh,https://en.wikipedia.org/wiki/Camila_Batmanghelidjh,Unkown
Juliana Rotich,https://en.wikipedia.org/wiki/Juliana_Rotich,Unkown
Obiageli Ezekwesili,https://en.wikipedia.org/wiki/Obiageli_Ezekwesili,Unkown
Helena Morrissey,https://en.wikipedia.org/wiki/Helena_Morrissey,Unkown
Anne Sweeney,https://en.wikipedia.org/wiki/Anne_Sweeney,Unkown
Ingrid Bergman,https://en.wikipedia.org/wiki/Ingrid_Bergman,Unkown
Sheila Van Damm,https://en.wikipedia.org/wiki/Sheila_van_Damm,Unkown
Rachel Maddow,https://en.wikipedia.org/wiki/Rachel_Maddow,Unkown
Ruth Gordo,https://en.wikipedia.org/wiki/Ruth_Gordon,Unkown
Miles Franklin,https://en.wikipedia.org/wiki/Miles_Franklin,Unkown
Louise Hay,https://en.wikipedia.org/wiki/Louise_Hay,Unkown
Diane von Furstenberg,https://en.wikipedia.org/wiki/Diane_von_F%C3%BCrstenberg,Unkown
Condoleezza Rice,https://en.wikipedia.org/wiki/Condoleezza_Rice,Unkown
Wendy Henry,https://en.wikipedia.org/wiki/Wendy_Henry,Unkown
Amy Schulman,https://en.wikipedia.org/wiki/Amy_Schumer,Unkown
Sophie Scholl,https://en.wikipedia.org/wiki/Sophie_Scholl,Unkown
Mary Quant,https://en.wikipedia.org/wiki/Mary_Quant,Unkown
Michelle Obama,https://en.wikipedia.org/wiki/Michelle_Obama,Unkown
Onora O'Neill,https://en.wikipedia.org/wiki/Onora_O%27Neill,Unkown
Laxmi Agarwal,https://en.wikipedia.org/wiki/Laxmi_Agarwal,Unkown
Tara Mohr,https://en.wikipedia.org/wiki/Tara_Moore,Unkown
Shami Chakrabarti,https://en.wikipedia.org/wiki/Shami_Chakrabarti,Unkown
Heather Moore,https://en.wikipedia.org/wiki/Heather_Moore,Unkown
Iyanla Vanzant,https://en.wikipedia.org/wiki/Iyanla_Vanzant,Unkown
Guo Pei,https://en.wikipedia.org/wiki/Guo_Pei,Unkown
Anna Wintour,https://en.wikipedia.org/wiki/Anna_Wintour,Unkown
Martha Lane Fox,https://en.wikipedia.org/wiki/Martha_Lane_Fox,Unkown
Aixa G. Lopez,https://en.wikipedia.org/wiki/Aixa,Unkown
Eileen Collins,https://en.wikipedia.org/wiki/Eileen_Collins,Unkown
Michelle Payne,https://en.wikipedia.org/wiki/Michelle_Payne,Unkown
Yulia Tymoshenko,https://en.wikipedia.org/wiki/Yulia_Tymoshenko,Unkown
Noor Inayat Khan,https://en.wikipedia.org/wiki/Noor_Inayat_Khan,Unkown
Amy Cuddy,https://en.wikipedia.org/wiki/Amy_Cuddy,Unkown
Kacey Ainsworth,https://en.wikipedia.org/wiki/Kacey_Ainsworth,Unkown
Caroline Myss,https://en.wikipedia.org/wiki/Caroline_Myss,Unkown
Ashley Rickards,https://en.wikipedia.org/wiki/Ashley_Rickards,Unkown
Debora Spar,https://en.wikipedia.org/wiki/Debora_Spar,Unkown
Grace Lee Boggs,https://en.wikipedia.org/wiki/Grace_Lee_Boggs,Unkown
Leymah Gbowee,https://en.wikipedia.org/wiki/Leymah_Gbowee,Unkown
Gretchen Rubin,https://en.wikipedia.org/wiki/Gretchen_Rubin,Unkown
Greta Thunberg,https://en.wikipedia.org/wiki/Greta_Thunberg,Unkown
Rhonda Hansome,https://en.wikipedia.org/wiki/Rhonda_Hansome,Unkown
Lisa Robinson,https://en.wikipedia.org/wiki/Lisa_Robinson,Unkown
Marsha Evans,https://en.wikipedia.org/wiki/Marsha_J._Evans,Unkown
Lilian Wyles,https://en.wikipedia.org/wiki/Lilian_Wyles,Unkown
Turia Pitt,https://en.wikipedia.org/wiki/Turia_Pitt,Unkown
Frances Perkins,https://en.wikipedia.org/wiki/Frances_Perkins,Unkown
Julie Bindel,https://en.wikipedia.org/wiki/Julie_Bindel,Unkown
Lady Gaga,https://en.wikipedia.org/wiki/Lady_Gaga,Unkown
Ellen Page,https://en.wikipedia.org/wiki/Ellen_Page,Unkown
Rosalyn Sussman,https://en.wikipedia.org/wiki/Rosalyn_Sussman_Yalow,Unkown
Indra Nooyi,https://en.wikipedia.org/wiki/Indra_Nooyi,Unkown
Katelyn Gleason,https://en.wikipedia.org/wiki/Katelyn_Tarver,Unkown
Jayaben Desai,https://en.wikipedia.org/wiki/Jayaben_Desai,Unkown
Athene Donald,https://en.wikipedia.org/wiki/Athene_Donald,Unkown
Ellen J. Kullman,https://en.wikipedia.org/wiki/Ellen_J._Kullman,Unkown
Vera Lynn,https://en.wikipedia.org/wiki/Vera_Lynn,Unkown
Zainab Salbi,https://en.wikipedia.org/wiki/Zainab_Salbi,Unkown
Catherine Cook,https://en.wikipedia.org/wiki/Catherine_Cookson,Unkown
Martha Beck,https://en.wikipedia.org/wiki/Martha_Beck,Unkown
