names,links,category
Candice Carpenter,False,Unkown
Kat Cole,https://en.wikipedia.org/wiki/Kat_Cole,Unkown
Liz Lange,https://en.wikipedia.org/wiki/Liz_Lange,Unkown
Alicia Vikander,https://en.wikipedia.org/wiki/Alicia_Vikander,Unkown
Kate Moss,https://en.wikipedia.org/wiki/Kate_Moss,Unkown
B. Smith,https://en.wikipedia.org/wiki/B._Smith,Unkown
Anne Frank,https://en.wikipedia.org/wiki/Anne_Frank,Unkown
Carly Fiorina,https://en.wikipedia.org/wiki/Carly_Fiorina,Unkown
Susan Wicklund,https://en.wikipedia.org/wiki/Susan_Wicklund,Unkown
Hawa Abdi,https://en.wikipedia.org/wiki/Hawa_Abdi,Unkown
Dr. Susan Madsen,False,Unkown
Finn Mackay,False,Unkown
Rose Heilbron QC,https://en.wikipedia.org/wiki/Rose_Heilbron,Unkown
Yoko Ono,https://en.wikipedia.org/wiki/Yoko_Ono,Unkown
Joanne Ciulla,https://en.wikipedia.org/wiki/Joanne_%28album%29,Unkown
Lisa Ling,https://en.wikipedia.org/wiki/Lisa_Ling,Unkown
Tyra Banks,https://en.wikipedia.org/wiki/Tyra_Banks,Unkown
Sallie Krawcheck,https://en.wikipedia.org/wiki/Sallie_Krawcheck,Unkown
Pink,https://en.wikipedia.org/wiki/Pink_%28singer%29,Unkown
Edith Summerskill,https://en.wikipedia.org/wiki/Edith_Summerskill,Unkown
Bethenny Frankel,https://en.wikipedia.org/wiki/Bethenny_Frankel,Unkown
Camila Batmanghelidjh,https://en.wikipedia.org/wiki/Camila_Batmanghelidjh,Unkown
Juliana Rotich,https://en.wikipedia.org/wiki/Juliana_Rotich,Unkown
Obiageli Ezekwesili,https://en.wikipedia.org/wiki/Obiageli_Ezekwesili,Unkown
Katie Fritz,False,Unkown
Helena Morrissey,https://en.wikipedia.org/wiki/Helena_Morrissey,Unkown
Anne Sweeney,https://en.wikipedia.org/wiki/Anne_Sweeney,Unkown
Ingrid Bergman,https://en.wikipedia.org/wiki/Ingrid_Bergman,Unkown
Sheila Van Damm,https://en.wikipedia.org/wiki/Sheila_van_Damm,Unkown
Rachel Maddow,https://en.wikipedia.org/wiki/Rachel_Maddow,Unkown
Ruth Gordo,https://en.wikipedia.org/wiki/Ruth_Gordon,Unkown
Miles Franklin,https://en.wikipedia.org/wiki/Miles_Franklin,Unkown
Louise Hay,https://en.wikipedia.org/wiki/Louise_Hay,Unkown
Diane von Furstenberg,https://en.wikipedia.org/wiki/Diane_von_F%C3%BCrstenberg,Unkown
Condoleezza Rice,https://en.wikipedia.org/wiki/Condoleezza_Rice,Unkown
Wendy Henry,https://en.wikipedia.org/wiki/Wendy_Henry,Unkown
Amy Schulman,https://en.wikipedia.org/wiki/Amy_Schumer,Unkown
Sophie Scholl,https://en.wikipedia.org/wiki/Sophie_Scholl,Unkown
Mary Quant,https://en.wikipedia.org/wiki/Mary_Quant,Unkown
Michelle Obama,https://en.wikipedia.org/wiki/Michelle_Obama,Unkown
