names,links,category
Louise Abbéma,https://en.wikipedia.org//wiki/Louise_Abb%C3%A9ma#Biography,List_of_20th-century_women_artists
Helen Allingham,https://en.wikipedia.org//wiki/Helen_Allingham,List_of_20th-century_women_artists
Laura Alma-Tadema,https://en.wikipedia.org//wiki/Laura_Alma-Tadema,List_of_20th-century_women_artists
Ester Almqvist,https://en.wikipedia.org//wiki/Ester_Almqvist,List_of_20th-century_women_artists
Anna Ancher,https://en.wikipedia.org//wiki/Anna_Ancher,List_of_20th-century_women_artists
Sophie Anderson,https://en.wikipedia.org//wiki/Sophie_Anderson,List_of_20th-century_women_artists
Marie-Elmina Anger,https://en.wikipedia.org//wiki/Marie-Elmina_Anger,List_of_20th-century_women_artists
Helen Maitland Armstrong,https://en.wikipedia.org//wiki/Helen_Maitland_Armstrong,List_of_20th-century_women_artists
Lucy Bacon,https://en.wikipedia.org//wiki/Lucy_Bacon,List_of_20th-century_women_artists
Alice Pike Barney,https://en.wikipedia.org//wiki/Alice_Pike_Barney,List_of_20th-century_women_artists
Susie M. Barstow,https://en.wikipedia.org//wiki/Susie_M._Barstow,List_of_20th-century_women_artists
Jane E. Bartlett,https://en.wikipedia.org//wiki/Jane_E._Bartlett,List_of_20th-century_women_artists
Cecilia Beaux,https://en.wikipedia.org//wiki/Cecilia_Beaux,List_of_20th-century_women_artists
Julie Hart Beers,https://en.wikipedia.org//wiki/Julie_Hart_Beers,List_of_20th-century_women_artists
Enella Benedict,https://en.wikipedia.org//wiki/Enella_Benedict,List_of_20th-century_women_artists
Harriet Blackstone,https://en.wikipedia.org//wiki/Harriet_Blackstone,List_of_20th-century_women_artists
Anna Boch,https://en.wikipedia.org//wiki/Anna_Boch,List_of_20th-century_women_artists
Alice Boughton,https://en.wikipedia.org//wiki/Alice_Boughton,List_of_20th-century_women_artists
Marie Bracquemond,https://en.wikipedia.org//wiki/Marie_Bracquemond,List_of_20th-century_women_artists
Susan Hinckley Bradley,https://en.wikipedia.org//wiki/Susan_Hinckley_Bradley,List_of_20th-century_women_artists
Fidelia Bridges,https://en.wikipedia.org//wiki/Fidelia_Bridges,List_of_20th-century_women_artists
